20;Canjica, com leite integral;72,494;112,4567772;470,5191559;2,360600042;1,244333333;1,350666667;23,62773329;1,216666667;0,273333333;42,56266667;5,838333333;0,02;40,58333333;0,056;27,58666667;69,809;0,025666667;0,278;Tr;;;Tr;0,04;Tr;Tr;Tr
21;Cereais, milho, flocos, com sal;9,293333333;369,59975;1546,405354;7,291666667;1,603333333;NA;80,835;5,293333333;0,976666667;1,813666667;20,096;Tr;90,77033333;0,524333333;271,7376667;68,66;Tr;0,611;NA;;;0,12;Tr;0,06;Tr;Tr
22;Cereais, milho, flocos, sem sal;11,22333333;363,3383167;1520,207517;6,875;1,183333333;NA;80,44833333;1,836666667;0,27;1,974666667;16,54866667;Tr;58,35966667;1,693333333;30,97033333;28,69733333;0,240333333;0,325666667;NA;;;0,05;Tr;0,04;Tr;Tr
23;Cereais, mingau, milho, infantil;4,703333333;394,4275217;1650,284751;6,43115942;1,093333333;NA;87,26550725;3,213333333;0,506666667;218,8066667;16,03;0,106333333;169,1633333;3,03;399,4033333;82,01666667;0,043333333;0,363333333;21,41666667;;;3,723333333;0,466666667;5,076666667;24,16333333;109,3666667
24;Cereais, mistura para vitamina, trigo, cevada e aveia;4,366666667;381,1333333;1594,661867;8,895833333;2,12;NA;81,6175;4,983333333;3;584,2513333;72,268;2,284;515,036;12,64133333;1163,257;244,361;0,206333333;2,022333333;Tr;;;0,76;0,876666667;1,486666667;7,456666667;13,10666667
25;Cereal matinal, milho;5,526666667;365,3541638;1528,641821;7,155797101;0,956666667;NA;83,8242029;4,116666667;2,536666667;142,9233333;10,93333333;0,059;100,8;3,05;654,5433333;83,08666667;0,06;7,63;NA;30,91666667;15,45833333;0,76;1,02;2,246666667;11,04;17,29333333
26;Cereal matinal, milho, a??car;4,266666667;376,5552536;1575,507181;4,742753623;0,666666667;NA;88,84057971;2,106666667;1,483333333;56,42333333;7,94;0,134333333;43,18;3,903333333;405,3133333;51,59666667;0,04;8,48;NA;30,91666667;15,45833333;0,726666667;1,11;0,786666667;10,13333333;14,55
27;Creme de arroz, p´;7,333;386,0011903;1615,02898;7,026949775;1,226;NA;83,86938356;1,071333333;0,544666667;7,085333333;50,50333333;1,237333333;153,02;0,632333333;1,030333333;114,6803333;0,038;1,863666667;NA;;;0,216666667;Tr;0,053333333;Tr;Tr
28;Creme de milho, p´;5,652;333,0341927;1393,415062;4,820833333;1,639333333;NA;86,1485;3,722333333;1,739333333;323,1633333;30,06233333;0,2;303,2666667;4,257;593,7936667;165,7236667;0,042666667;0,780666667;NA;;;0,74;Tr;2,053333333;Tr;96,34
29;Curau, milho verde;81,56466667;78,43381831;328,1670958;2,360600042;1,637;4,742;13,94439996;0,456666667;0,493333333;52,596;15,96133333;0,055666667;74,65633333;0,449333333;20,512;161,8423333;0,025333333;0,4;12,07;20,07;16,07;0,036666667;0,07;Tr;Tr;Tr
30;Curau, milho verde, mistura para;3,916333333;402,2865774;1683,16704;2,222916667;13,37133333;NA;79,81641667;2,522666667;0,673;30,878;8,500666667;0,054666667;44,619;0,862666667;222,9256667;55,33533333;0,029333333;0,240666667;NA;;;0,133333333;Tr;Tr;Tr;Tr
31;Farinha, de arroz, enriquecida;12,69333333;363,0564802;1519,028313;1,269333293;0,3;NA;85,50400004;0,58;0,233333333;1,122666667;4,3;0,042333333;35,95866667;31,38333333;17,10166667;12,54066667;Tr;8,48;NA;;;3,233333333;Tr;3,466666667;24,42333333;173,5866667
32;Farinha, de centeio, integral;10,8;336;1405;12,5;1,8;NA;73,3;15,5;1,7;34;120;3,86;340;4,7;41;334;0,56;2,7;NA;;;0,29;0,03;0,08;Tr;Tr
33;Farinha, de milho, amarela;11,8;351;1467;7,2;1,5;NA;79,1;5,5;0,5;1;31;Tr;84;2,3;45;58;0,27;0,6;NA;18;9;0,25;Tr;0,25;Tr;Tr
34;Farinha, de rosca;9,8;371;1550;11,4;1,5;NA;75,8;4,8;1,6;35;57;1,62;195;6,7;333;212;0,26;1,7;NA;;;0,25;Tr;0,09;Tr;Tr
35;Farinha, de trigo;13;360;1508;9,8;1,4;NA;75,1;2,3;0,8;18;31;0,46;115;1;1;151;0,15;0,8;NA;;;0,31;Tr;Tr;0,89;Tr
36;Farinha, lòctea, de cereais;2,7;415;1736;11,9;5,8;11;77,8;1,9;1,9;196;58;1,49;296;8,7;125;366;0,19;1,7;492;;;1,43;1,13;1,14;9,5;24,3
